Jon Allen,ylixir,,FALSE,Fargo/ ND,united states
Thomas Petazzoni,tpetazzoni,http://thomas.enix.org,FALSE,Toulouse/ France,france
Thomas Petazzoni,tpetazzoni,http://thomas.enix.org,FALSE,Toulouse/ France,france
,solotandem,,FALSE,,blank field
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Christoph M. Becker,cmb69,,FALSE,,blank field
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Jacob Hipps,yellowcrescent,https://ycnrg.org/,FALSE,Chesapeake/ VA/ USA,united states
,samding01,,FALSE,,blank field
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Balázs János Tatár,tatarbj,,FALSE,Brussels/ Belgium,belgium
,samding01,,FALSE,,blank field
Michael Munger,mjmunger,,FALSE,Woodstock/ GA,united states
Pedro Magalhães,pmmaga,,FALSE,Sintra/ Portugal,Undefined
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Tom Van Looy,tvlooy,twitter.com/tvlooy,FALSE,Belgium/ Beerse,belgium
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
FlorinCB,orynider,http://www.facebook.com/OryNider,FALSE,Arad,romania
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
David CARLIER,devnexen,https://devnexen.blogspot.com,FALSE,,blank field
Nikita Popov,nikic,http://nikic.github.com/,FALSE,Berlin/ Germany,germany
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Craig Duncan,duncan3dc,https://www.patreon.com/duncan3dc,FALSE,Manchester/ UK,united kingdom
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Abyr Valg,valga,,FALSE,,blank field
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Tom Van Looy,tvlooy,twitter.com/tvlooy,FALSE,Belgium/ Beerse,belgium
Mitch Hagstrand,mhagstrand,,FALSE,Austin TX,Undefined
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Michael Heimpold,mhei,,FALSE,Leipzig/ Germany,germany
,guoj76,,FALSE,,blank field
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
吕海涛,lvht,,FALSE,上海,Undefined
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
吕海涛,lvht,,FALSE,上海,Undefined
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
蝦米,jhdxr,,FALSE,Singapore,singapore
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Mitch Hagstrand,mhagstrand,,FALSE,Austin TX,Undefined
Christoph M. Becker,cmb69,,FALSE,,blank field
John Stevenson,johnstevenson,,FALSE,,blank field
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Pedro Lacerda,pslacerda,,FALSE,Salvador/ Bahia,brazil
Christoph M. Becker,cmb69,,FALSE,,blank field
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Deleted user,ghost,,FALSE,Nothing to see here/ move along.,Undefined
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
David Walker,bp1222,,FALSE,Denver/ CO,united states
Ondřej Surý,oerdnj,,FALSE,Czech Republic,Undefined
Bishop Bettini,bishopb,http://stackoverflow.com/users/2908724/bishop,FALSE,,blank field
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Lee Xun,LeeXun,https://leexun.github.io/,FALSE,Taiwan/ Taipei,taiwan
Michael Smith,smwa,https://smwa.github.io/,FALSE,Oklahoma/ USA,united states
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Pedro Magalhães,pmmaga,,FALSE,Sintra/ Portugal,Undefined
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
,samding01,,FALSE,,blank field
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Philip Prindeville,pprindeville,https://www.linkedin.com/in/philipprindeville,FALSE,Boise/ ID,united states
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Nat Zimmermann,ntzm,http://ntzm.io,FALSE,Derby/ UK,united kingdom
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
,samding01,,FALSE,,blank field
,samding01,,FALSE,,blank field
,lylyb,,FALSE,,blank field
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Chris Wright,DaveRandom,http://www.daverandom.com/,FALSE,Manchester/ UK,united kingdom
Michael Orlitzky,orlitzky,http://michael.orlitzky.com/,FALSE,Baltimore/ MD,united states
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Nikita Popov,nikic,http://nikic.github.com/,FALSE,Berlin/ Germany,germany
Doug Grant,dgrant116,,FALSE,,blank field
Nat Zimmermann,ntzm,http://ntzm.io,FALSE,Derby/ UK,united kingdom
David CARLIER,devnexen,https://devnexen.blogspot.com,FALSE,,blank field
David CARLIER,devnexen,https://devnexen.blogspot.com,FALSE,,blank field
David CARLIER,devnexen,https://devnexen.blogspot.com,FALSE,,blank field
NOMAD,motecshine,https://motecshine.github.io,FALSE,西安,Undefined
Zufu Liu,zufuliu,,FALSE,,blank field
Richard Fussenegger,Fleshgrinder,http://richard.fussenegger.info/,FALSE,Germany,germany
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Timur Ibragimov,timurib,https://stackoverflow.com/users/1220930/timurib,FALSE,,blank field
Nikita Popov,nikic,http://nikic.github.com/,FALSE,Berlin/ Germany,germany
Bishop Bettini,bishopb,http://stackoverflow.com/users/2908724/bishop,FALSE,,blank field
Chris Wright,DaveRandom,http://www.daverandom.com/,FALSE,Manchester/ UK,united kingdom
Timur Ibragimov,timurib,https://stackoverflow.com/users/1220930/timurib,FALSE,,blank field
Timur Ibragimov,timurib,https://stackoverflow.com/users/1220930/timurib,FALSE,,blank field
Bishop Bettini,bishopb,http://stackoverflow.com/users/2908724/bishop,FALSE,,blank field
Bishop Bettini,bishopb,http://stackoverflow.com/users/2908724/bishop,FALSE,,blank field
Bishop Bettini,bishopb,http://stackoverflow.com/users/2908724/bishop,FALSE,,blank field
Alexander Holman,alexanderholman,https://holman.org.uk,FALSE,Cheddar/ Somerset,Undefined
Alexander Holman,alexanderholman,https://holman.org.uk,FALSE,Cheddar/ Somerset,Undefined
Oleg,iRipVanWinkle,,FALSE,Ukraine/ Kiev,ukraine
Oleg,iRipVanWinkle,,FALSE,Ukraine/ Kiev,ukraine
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,TRUE,Brazil,brazil
Tony Brix,UziTech,https://tony.brix.ninja,FALSE,United States,united states
Lior Kaplan,kaplanlior,,TRUE,,blank field
,SudanLadu,,FALSE,,blank field
Lior Kaplan,kaplanlior,,FALSE,,blank field
Gabriel Caruso,carusogabriel,https://twitter.com/carusogabriel,FALSE,Brazil,brazil
Nikita Popov,nikic,http://nikic.github.com/,FALSE,Berlin/ Germany,germany
Jakub Zelenka,bukka,http://bukka.eu,FALSE,London/ United Kingdom,united kingdom
David CARLIER,devnexen,https://devnexen.blogspot.com,FALSE,,blank field
Tom Van Looy,tvlooy,twitter.com/tvlooy,FALSE,Belgium/ Beerse,belgium
David CARLIER,devnexen,https://devnexen.blogspot.com,FALSE,,blank field
Nikita Popov,nikic,http://nikic.github.com/,FALSE,Berlin/ Germany,germany
Richard Quadling,rquadling,,FALSE,Exeter/ Devon/ UK,united kingdom
Enrico Zimuel,ezimuel,www.zimuel.it,FALSE,Torino (Italy),Undefined
,michele-damiano,,FALSE,,blank field
Fabio Giannese (diodœ),diodoe,https://diodoe.com,FALSE,Italy,italy
Riccardo Magliocchetti,xrmx,http://menodizero.it,FALSE,Torino,Undefined
Riccardo Magliocchetti,xrmx,http://menodizero.it,FALSE,Torino,Undefined
Evgenii Kalashnikov,kenboy,https://www.linkedin.com/in/kenboy/,FALSE,Russia,russia
Nikita Popov,nikic,http://nikic.github.com/,TRUE,Berlin/ Germany,germany
David CARLIER,devnexen,https://devnexen.blogspot.com,FALSE,,blank field
Anatol Belski,weltling,http://belski.net,FALSE,,blank field
Li-Wen Hsu,lwhsu,https://lwhsu.org,FALSE,Taipei/ Taiwan,taiwan
Danilo Correa,danilosilva87,dcorrea.com.br,FALSE,São Paulo,brazil
Levi Morrison,morrisonlevi,,FALSE,Provo/ UT,united states
蝦米,jhdxr,,FALSE,Singapore,singapore
蝦米,jhdxr,,FALSE,Singapore,singapore
David CARLIER,devnexen,https://devnexen.blogspot.com,FALSE,,blank field
Nikita Popov,nikic,http://nikic.github.com/,FALSE,Berlin/ Germany,germany
David CARLIER,devnexen,https://devnexen.blogspot.com,FALSE,,blank field
,Young-X,,FALSE,,blank field
jelle van der Waa,jelly,https://vdwaa.nl,FALSE,NL,Undefined
Deleted user,ghost,,FALSE,Nothing to see here/ move along.,Undefined
Deleted user,ghost,,FALSE,Nothing to see here/ move along.,Undefined
,Berbe,,FALSE,,blank field
Benjamin Morel,BenMorel,,FALSE,Aix-en-Provence/ France,france
Vmeng,wuhaozheng2,,FALSE,,blank field
Tom Van Looy,tvlooy,twitter.com/tvlooy,FALSE,Belgium/ Beerse,belgium
Pedro Magalhães,pmmaga,,FALSE,Sintra/ Portugal,Undefined
Markus Staab,staabm,https://twitter.com/markusstaab,FALSE,Germany,germany
Chingis,csandanov,https://wodby.com,FALSE,,blank field
Marcos Dantas,lpj145,,FALSE,Parelhas - RN/ Brazil,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Javier Eguiluz,javiereguiluz,http://javiereguiluz.com,FALSE,Vitoria-Gasteiz (Spain),Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Lior Kaplan,kaplanlior,,FALSE,,blank field
David CARLIER,devnexen,https://devnexen.blogspot.com,FALSE,,blank field
Remi Collet,remicollet,https://blog.remirepo.net/,FALSE,France/ Champagne,france
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Sebastian Ramadan,Sebbyastian,,FALSE,,blank field
Michael Heimpold,mhei,,FALSE,Leipzig/ Germany,germany
David CARLIER,devnexen,https://devnexen.blogspot.com,FALSE,,blank field
Sebastian Ramadan,Sebbyastian,,FALSE,,blank field
David CARLIER,devnexen,https://devnexen.blogspot.com,FALSE,,blank field
,MattJeevas,,FALSE,,blank field
Rodrigo Prado,royopa,http://about.me/royopa,FALSE,São Paulo - Brazil,Undefined
Sara Golemon,sgolemon,http://twitter.com/SaraMG,FALSE,NYC,united states
,MattJeevas,,FALSE,,blank field
Scott,paragonie-scott,https://paragonie.com,FALSE,Orlando/ FL,united states
Manabu Matsui,crhg,,FALSE,Tokyo,japan
Deleted user,ghost,,FALSE,Nothing to see here/ move along.,Undefined
,richvigorito,,FALSE,Portland/ OR,united states
Andrew Nester,andrewnester,http://linkedin.com/in/andrewnesterdev/,FALSE,Netherlands/ Amsterdam,netherlands
David CARLIER,devnexen,https://devnexen.blogspot.com,FALSE,,blank field
Deleted user,ghost,,FALSE,Nothing to see here/ move along.,Undefined
Alessandro Chitolina,alekitto,,FALSE,,blank field
John Stevenson,johnstevenson,,FALSE,,blank field
Colin O'Dell,colinodell,https://www.colinodell.com,FALSE,Frederick/ Maryland,united states
John Stevenson,johnstevenson,,FALSE,,blank field
Nikita Popov,nikic,http://nikic.github.com/,FALSE,Berlin/ Germany,germany
Deleted user,ghost,,FALSE,Nothing to see here/ move along.,Undefined
ZiMuyang,zimuyang,,FALSE,,blank field
Sebastian Ramadan,Sebbyastian,,FALSE,,blank field
Sebastian Ramadan,Sebbyastian,,FALSE,,blank field
Sebastian Ramadan,Sebbyastian,,FALSE,,blank field
Sebastian Ramadan,Sebbyastian,,FALSE,,blank field
,berndlosert,,FALSE,,blank field
Adam Baratz,adambaratz,http://www.adambaratz.com,FALSE,,blank field
Daniel Ciochiu,DanielCiochiu,,FALSE,Craiova,romania
Adam Baratz,adambaratz,http://www.adambaratz.com,FALSE,,blank field
Tyson Andre,TysonAndre,,FALSE,,blank field
Steven Penny,cup,,FALSE,Dallas,united states
Tyson Andre,TysonAndre,,FALSE,,blank field
Tyson Andre,TysonAndre,,FALSE,,blank field
吕海涛,lvht,,FALSE,上海,Undefined
David CARLIER,devnexen,https://devnexen.blogspot.com,FALSE,,blank field
Sammy Kaye Powers,SammyK,sammyk.me,FALSE,Probably in a coffee shop right now,Undefined
Anton Artamonov,artmnv,,FALSE,,blank field
Rodrigo Prado,royopa,http://about.me/royopa,FALSE,São Paulo - Brazil,Undefined
Rodrigo Prado,royopa,http://about.me/royopa,FALSE,São Paulo - Brazil,Undefined
Deleted user,ghost,,FALSE,Nothing to see here/ move along.,Undefined
MITSUNARI Shigeo,herumi,http://herumi.in.coocan.jp/,FALSE,,blank field
Rodrigo Prado,royopa,http://about.me/royopa,FALSE,São Paulo - Brazil,Undefined
Michael Moravec,Majkl578,https://majkl.me,FALSE,Prague/ Czech Republic,czechia
Lior Kaplan,kaplanlior,,FALSE,,blank field
Lior Kaplan,kaplanlior,,FALSE,,blank field
Sammy Kaye Powers,SammyK,sammyk.me,FALSE,Probably in a coffee shop right now,Undefined
Fabien Villepinte,villfa,,FALSE,Bordeaux/ France,france
Fabien Villepinte,villfa,,FALSE,Bordeaux/ France,france
吕海涛,lvht,,FALSE,上海,Undefined
Sergei Morozov,morozov,http://morozov.livejournal.com/,FALSE,San Jose/ CA,philippines
Fabien Villepinte,villfa,,FALSE,Bordeaux/ France,france
Elan Ruusamäe,glensc,,FALSE,,blank field
Fabien Villepinte,villfa,,FALSE,Bordeaux/ France,france
Fabien Villepinte,villfa,,FALSE,Bordeaux/ France,france
Dmitry Stogov,dstogov,,TRUE,Russia,russia
Michael Kliewe,PHPGangsta,http://www.phpgangsta.de,FALSE,Oelde,Undefined
Ródgger,rodggerbr,,FALSE,,blank field
Fabien Villepinte,villfa,,FALSE,Bordeaux/ France,france
Christoph M. Becker,cmb69,,FALSE,,blank field
Fabien Villepinte,villfa,,FALSE,Bordeaux/ France,france
Fabien Villepinte,villfa,,FALSE,Bordeaux/ France,france
Fabien Villepinte,villfa,,FALSE,Bordeaux/ France,france
Sol Richardson,sr5732358,,FALSE,,blank field
Andrew Nester,andrewnester,http://linkedin.com/in/andrewnesterdev/,FALSE,Netherlands/ Amsterdam,netherlands
Vitor Mattos,vitormattos,,FALSE,Rio de Janeiro - Brasil,Undefined
Sheldon Led,sheldonled,http://github.sheldonled.com,FALSE,Dublin/ Ireland,ireland
,iggyvolz,,FALSE,,blank field
Bertrand Drouhard,BertrandF23,,FALSE,Dublin,ireland
Bertrand Drouhard,BertrandF23,,FALSE,Dublin,ireland
Gabriel da Gama,gabrieldagama,,FALSE,,blank field
Mark Railton,railto,http://markrailton.com,FALSE,Dublin/ Ireland,ireland
Michael Paul,michaelpaul,http://michaelpaul.com.br,FALSE,Brazil/ Curitiba - PR,brazil
Sergey Ivashchenko,sivaschenko,www.sivaschenko.com,FALSE,Dublin,ireland
,fandrieu,,FALSE,,blank field
,dennisluzern,,FALSE,,blank field
Anatol Belski,weltling,http://belski.net,FALSE,,blank field
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Herman J. Radtke III,hjr3,http://hermanradtke.com,FALSE,Downtown Los Angeles,Undefined
Herman J. Radtke III,hjr3,http://hermanradtke.com,FALSE,Downtown Los Angeles,Undefined
Morva Kristóf,KristofMorva,,FALSE,Budapest/ Hungary,hungary
Andrew Nester,andrewnester,http://linkedin.com/in/andrewnesterdev/,FALSE,Netherlands/ Amsterdam,netherlands
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Nikita Popov,nikic,http://nikic.github.com/,FALSE,Berlin/ Germany,germany
天河,tianhe1986,,TRUE,Hangzhou/ China,china
Christoph M. Becker,cmb69,,FALSE,,blank field
,fandrieu,,FALSE,,blank field
Matthew Radcliffe,mradcliffe,http://softpixel.com/~mradcliffe,FALSE,,blank field
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Thiago Carvalho,thiagooak,,FALSE,Berlin,germany
天河,tianhe1986,,FALSE,Hangzhou/ China,china
Michael Moravec,Majkl578,https://majkl.me,FALSE,Prague/ Czech Republic,czechia
Pedro Magalhães,pmmaga,,FALSE,Sintra/ Portugal,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
jelle van der Waa,jelly,https://vdwaa.nl,FALSE,NL,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Andrew Nester,andrewnester,http://linkedin.com/in/andrewnesterdev/,FALSE,Netherlands/ Amsterdam,netherlands
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Fabien Villepinte,villfa,,FALSE,Bordeaux/ France,france
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
CARBONNEAUX Mathieu,mcarbonneaux,http://www.ch2o.info,FALSE,France,france
CARBONNEAUX Mathieu,mcarbonneaux,http://www.ch2o.info,FALSE,France,france
CARBONNEAUX Mathieu,mcarbonneaux,http://www.ch2o.info,FALSE,France,france
CARBONNEAUX Mathieu,mcarbonneaux,http://www.ch2o.info,FALSE,France,france
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Sol Richardson,sr5732358,,FALSE,,blank field
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Mihail,userator,,FALSE,Russia,russia
David CARLIER,devnexen,https://devnexen.blogspot.com,FALSE,,blank field
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,TRUE,Area 51,Undefined
Fabien Villepinte,villfa,,TRUE,Bordeaux/ France,france
Pedro Magalhães,pmmaga,,FALSE,Sintra/ Portugal,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,TRUE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,TRUE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Mark Baker,MarkBaker,http://markbakeruk.net/,FALSE,Wigan,united kingdom
Viktor Szépe,szepeviktor,https://github.com/szepeviktor/debian-server-tools/blob/master/CV.md,FALSE,Budapest/ HUNGARY,hungary
Remi Collet,remicollet,https://blog.remirepo.net/,FALSE,France/ Champagne,france
Peter Kokot,petk,https://petk.github.io,TRUE,Area 51,Undefined
Ben Ramsey,ramsey,https://benramsey.com/,FALSE,Nashville/ TN,united states
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Ian O'Shaughnessy,neoform,http://www.comentr.com,FALSE,Montreal,canada
,ionescuvalentinadrian,,FALSE,,blank field
,ionescuvalentinadrian,,FALSE,,blank field
Pedro Magalhães,pmmaga,,FALSE,Sintra/ Portugal,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,TRUE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
蝦米,jhdxr,,FALSE,Singapore,singapore
Peter Kokot,petk,https://petk.github.io,TRUE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Thomas Punt,tpunt,https://phpinternals.net,FALSE,London/ United Kingdom,united kingdom
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Nikita Popov,nikic,http://nikic.github.com/,FALSE,Berlin/ Germany,germany
蝦米,jhdxr,,FALSE,Singapore,singapore
Peter Kokot,petk,https://petk.github.io,FALSE,Area 51,Undefined
Mark Niebergall,mbniebergall,,FALSE,,blank field
Sammy Kaye Powers,SammyK,sammyk.me,FALSE,Probably in a coffee shop right now,Undefined
Dmitry Stogov,dstogov,,TRUE,Russia,russia
Jannes Jeising,jjeising,,FALSE,Germany,germany
BohwaZ,bohwaz,http://bohwaz.net/,FALSE,Auckland,new zealand
Christoph M. Becker,cmb69,,FALSE,,blank field
